year,geography_type,geography_id,geography_name,state_fips,county_fips,full_county_fips,cbsa_code,single_family_units,total_units,single_family_share,single_family_value,multifamily_units,multifamily_value,total_value,yoy_change_units,yoy_percent_change,rolling_3yr_avg,cumulative_sfh_2000_2025,cumulative_sfh_2010_2025,cumulative_sfh_2020_2025,source_file
2024,cbsa,10100,Aberdeen  SD,,,,10100,70,86,0.814,13885,16,1189,15074,,,,70.0,70.0,70.0,cbsa2024a.txt
2024,cbsa,10140,Aberdeen  WA,,,,10140,251,288,0.8715,77136,37,6488,83624,,,,251.0,251.0,251.0,cbsa2024a.txt
2004,cbsa,10180,Abilene  TX,,,,10180,283,291,0.9725,41533,8,611,42144,84.0,42.21,,482.0,,,ma2004a.txt
2005,cbsa,10180,Abilene  TX,,,,10180,310,346,0.896,48199,36,2839,51038,27.0,9.54,,792.0,,,ma2005a.txt
2006,cbsa,10180,Abilene  TX,,,,10180,333,365,0.9123,58363,32,2894,61257,23.0,7.42,308.7,1125.0,,,ma2006a.txt
2007,cbsa,10180,Abilene  TX,,,,10180,283,293,0.9659,45874,10,993,46867,-50.0,-15.02,308.7,1408.0,,,ma2007a.txt
2008,cbsa,10180,Abilene  TX,,,,10180,190,196,0.9694,31926,6,606,32532,-93.0,-32.86,268.7,1598.0,,,ma2008a.txt
2009,cbsa,10180,Abilene  TX,,,,10180,214,214,1.0,37941,0,0,37941,24.0,12.63,229.0,1812.0,,,ma2009a.txt
2010,cbsa,10180,Abilene  TX,,,,10180,272,390,0.6974,39642,118,3941,43583,58.0,27.1,225.3,2084.0,272.0,,ma2010a.txt
2011,cbsa,10180,Abilene  TX,,,,10180,153,159,0.9623,27402,6,626,28028,-119.0,-43.75,213.0,2237.0,425.0,,ma2011a.txt
2012,cbsa,10180,Abilene  TX,,,,10180,241,455,0.5297,47373,214,16980,64353,88.0,57.52,222.0,2478.0,666.0,,ma2012a.txt
2013,cbsa,10180,Abilene  TX,,,,10180,292,306,0.9542,62475,14,1035,63510,51.0,21.16,228.7,2770.0,958.0,,ma2013a.txt
2014,cbsa,10180,Abilene  TX,,,,10180,284,284,1.0,58424,0,0,58424,-8.0,-2.74,272.3,3054.0,1242.0,,ma2014a.txt
2015,cbsa,10180,Abilene  TX,,,,10180,303,535,0.5664,66562,232,14534,81096,19.0,6.69,293.0,3357.0,1545.0,,ma2015a.txt
2016,cbsa,10180,Abilene  TX,,,,10180,298,306,0.9739,55193,8,400,55593,-5.0,-1.65,295.0,3655.0,1843.0,,ma2016a.txt
2017,cbsa,10180,Abilene  TX,,,,10180,282,322,0.8758,60266,40,3055,63321,-16.0,-5.37,294.3,3937.0,2125.0,,ma2017a.txt
2018,cbsa,10180,Abilene  TX,,,,10180,335,357,0.9384,73056,22,1811,74867,53.0,18.79,305.0,4272.0,2460.0,,ma2018a.txt
2019,cbsa,10180,Abilene  TX,,,,10180,354,370,0.9568,72824,16,2093,74917,19.0,5.67,323.7,4626.0,2814.0,,ma2019a.txt
2020,cbsa,10180,Abilene  TX,,,,10180,397,663,0.5988,82567,266,24452,107019,43.0,12.15,362.0,5023.0,3211.0,397.0,ma2020a.txt
2021,cbsa,10180,Abilene  TX,,,,10180,506,883,0.573,108744,377,41752,150496,109.0,27.46,419.0,5529.0,3717.0,903.0,ma2021a.txt
2022,cbsa,10180,Abilene  TX,,,,10180,473,799,0.592,114059,326,29698,143757,-33.0,-6.52,458.7,6002.0,4190.0,1376.0,ma2022a.txt
2023,cbsa,10180,Abilene  TX,,,,10180,342,462,0.7403,92755,120,14907,107662,-131.0,-27.7,440.3,6344.0,4532.0,1718.0,ma2023a.txt
2024,cbsa,10180,Abilene  TX,,,,10180,431,527,0.8178,120144,96,14788,134932,89.0,26.02,415.3,6775.0,4963.0,2149.0,cbsa2024a.txt
2024,cbsa,10220,Ada  OK,,,,10220,2,2,1.0,1100,0,0,1100,,,,2.0,2.0,2.0,cbsa2024a.txt
2024,cbsa,10300,Adrian  MI,,,,10300,160,168,0.9524,51684,8,1500,53184,,,,160.0,160.0,160.0,cbsa2024a.txt
2004,cbsa,10420,Akron  OH,,,,10420,2480,2934,0.8453,453404,454,23588,476992,-250.0,-9.16,,5210.0,,,ma2004a.txt
2005,cbsa,10420,Akron  OH,,,,10420,2310,2724,0.848,446409,414,24032,470441,-170.0,-6.85,,7520.0,,,ma2005a.txt
2006,cbsa,10420,Akron  OH,,,,10420,1746,2209,0.7904,354262,463,24034,378296,-564.0,-24.42,2178.7,9266.0,,,ma2006a.txt
2007,cbsa,10420,Akron  OH,,,,10420,1379,1594,0.8651,270769,215,9500,280269,-367.0,-21.02,1811.7,10645.0,,,ma2007a.txt
2008,cbsa,10420,Akron  OH,,,,10420,871,1039,0.8383,167613,168,7520,175133,-508.0,-36.84,1332.0,11516.0,,,ma2008a.txt
2009,cbsa,10420,Akron  OH,,,,10420,670,741,0.9042,110215,71,3266,113481,-201.0,-23.08,973.3,12186.0,,,ma2009a.txt
2010,cbsa,10420,Akron  OH,,,,10420,657,736,0.8927,124395,79,3336,127731,-13.0,-1.94,732.7,12843.0,657.0,,ma2010a.txt
2011,cbsa,10420,Akron  OH,,,,10420,637,1122,0.5677,116740,485,26327,143067,-20.0,-3.04,654.7,13480.0,1294.0,,ma2011a.txt
2012,cbsa,10420,Akron  OH,,,,10420,611,618,0.9887,129414,7,580,129994,-26.0,-4.08,635.0,14091.0,1905.0,,ma2012a.txt
2013,cbsa,10420,Akron  OH,,,,10420,666,690,0.9652,157912,24,5400,163312,55.0,9.0,638.0,14757.0,2571.0,,ma2013a.txt
2014,cbsa,10420,Akron  OH,,,,10420,684,763,0.8965,173540,79,7900,181440,18.0,2.7,653.7,15441.0,3255.0,,ma2014a.txt
2015,cbsa,10420,Akron  OH,,,,10420,792,967,0.819,192844,175,16850,209694,108.0,15.79,714.0,16233.0,4047.0,,ma2015a.txt
2016,cbsa,10420,Akron  OH,,,,10420,905,909,0.9956,226169,4,500,226669,113.0,14.27,793.7,17138.0,4952.0,,ma2016a.txt
2017,cbsa,10420,Akron  OH,,,,10420,901,920,0.9793,225302,19,1800,227102,-4.0,-0.44,866.0,18039.0,5853.0,,ma2017a.txt
2018,cbsa,10420,Akron  OH,,,,10420,1011,1210,0.8355,387058,199,27410,414468,110.0,12.21,939.0,19050.0,6864.0,,ma2018a.txt
2019,cbsa,10420,Akron  OH,,,,10420,856,945,0.9058,343432,89,4077,347509,-155.0,-15.33,922.7,19906.0,7720.0,,ma2019a.txt
2020,cbsa,10420,Akron  OH,,,,10420,788,914,0.8621,362361,126,4707,367068,-68.0,-7.94,885.0,20694.0,8508.0,788.0,ma2020a.txt
