year,geography_type,geography_id,geography_name,state_fips,county_fips,full_county_fips,cbsa_code,single_family_units,total_units,single_family_share,single_family_value,multifamily_units,multifamily_value,total_value,source_file,geo_level
2014,county,02020,Anchorage Borough,02,020,02020,,572,770,0.7429,179917040,198,31600484,211517524,co2014a.txt,county
2014,county,02020,Anchorage Municipality,02,020,02020,,572,770,0.7429,179917040,198,31600484,211517524,co2014a.txt,county
2014,county,02110,Juneau Borough,02,110,02110,,68,204,0.3333,13906374,136,15790284,29696658,co2014a.txt,county
2014,county,02110,Juneau City and Borough,02,110,02110,,68,204,0.3333,13906374,136,15790284,29696658,co2014a.txt,county
2014,county,02220,Sitka Borough,02,220,02220,,17,17,1.0,4543725,0,0,4543725,co2014a.txt,county
2014,county,02220,Sitka City and Borough,02,220,02220,,17,17,1.0,4543725,0,0,4543725,co2014a.txt,county
2014,county,02282,Yakutat Borough,02,282,02282,,3,3,1.0,570364,0,0,570364,co2014a.txt,county
2014,county,02282,Yakutat City and Borough,02,282,02282,,3,3,1.0,570364,0,0,570364,co2014a.txt,county
2014,county,24037,St. Mary's County,24,037,24037,,451,457,0.9869,101387229,6,1094000,102481229,co2014a.txt,county
2014,county,24037,St. Marys County,24,037,24037,,451,457,0.9869,101387229,6,1094000,102481229,co2014a.txt,county
2015,county,02020,Anchorage Borough,02,020,02020,,648,834,0.777,202797264,186,29992720,232789984,co2015a.txt,county
2015,county,02020,Anchorage Municipality,02,020,02020,,648,834,0.777,202797264,186,29992720,232789984,co2015a.txt,county
2015,county,02110,Juneau Borough,02,110,02110,,82,94,0.8723,17354854,12,1468998,18823852,co2015a.txt,county
2015,county,02110,Juneau City and Borough,02,110,02110,,82,94,0.8723,17354854,12,1468998,18823852,co2015a.txt,county
2015,county,02220,Sitka Borough,02,220,02220,,18,20,0.9,5968110,2,574745,6542855,co2015a.txt,county
2015,county,02220,Sitka City and Borough,02,220,02220,,18,20,0.9,5968110,2,574745,6542855,co2015a.txt,county
2015,county,02282,Yakutat Borough,02,282,02282,,0,0,,0,0,0,0,co2015a.txt,county
2015,county,02282,Yakutat City and Borough,02,282,02282,,0,0,,0,0,0,0,co2015a.txt,county
2015,county,24037,St. Mary's County,24,037,24037,,626,641,0.9766,112224455,15,2736000,114960455,co2015a.txt,county
