geo_level,geography_id,geography_name,missing_year
state,01,Alabama,2025
state,02,Alaska,2025
state,04,Arizona,2025
state,05,Arkansas,2025
state,06,California,2025
state,08,Colorado,2025
state,09,Connecticut,2025
state,10,Delaware,2025
state,11,District of Columbia,2025
state,12,Florida,2025
state,13,Georgia,2025
state,15,Hawaii,2025
state,16,Idaho,2025
state,17,Illinois,2025
state,18,Indiana,2025
state,19,Iowa,2025
state,20,Kansas,2025
state,21,Kentucky,2025
state,22,Louisiana,2025
state,23,Maine,2025
state,24,Maryland,2025
state,25,Massachusetts,2025
state,26,Michigan,2025
state,27,Minnesota,2025
state,28,Mississippi,2025
state,29,Missouri,2025
state,30,Montana,2025
state,31,Nebraska,2025
state,32,Nevada,2025
state,33,New Hampshire,2025
state,34,New Jersey,2025
state,35,New Mexico,2025
state,36,New York,2025
state,37,North Carolina,2025
state,38,North Dakota,2025
state,39,Ohio,2025
state,40,Oklahoma,2025
state,41,Oregon,2025
state,42,Pennsylvania,2025
state,72,Puerto Rico,2012
state,72,Puerto Rico,2013
state,72,Puerto Rico,2017
state,72,Puerto Rico,2020
state,72,Puerto Rico,2025
state,44,Rhode Island,2025
state,45,South Carolina,2025
state,46,South Dakota,2025
state,47,Tennessee,2025
state,48,Texas,2025
state,49,Utah,2025
state,50,Vermont,2025
state,51,Virginia,2025
state,53,Washington,2025
state,54,West Virginia,2025
state,55,Wisconsin,2025
state,56,Wyoming,2025
state,78,Virgin Islands,2000
state,78,Virgin Islands,2001
state,78,Virgin Islands,2002
state,78,Virgin Islands,2003
state,78,Virgin Islands,2004
state,78,Virgin Islands,2005
state,78,Virgin Islands,2006
state,78,Virgin Islands,2025
county,01001,Autauga County,2025
county,01003,Baldwin County,2025
county,01005,Barbour County,2025
county,01007,Bibb County,2025
county,01009,Blount County,2025
county,01011,Bullock County,2025
county,01013,Butler County,2025
county,01015,Calhoun County,2025
county,01017,Chambers County,2025
county,01019,Cherokee County,2025
county,01021,Chilton County,2025
