year,geography_type,geography_id,geography_name,state_fips,county_fips,full_county_fips,cbsa_code,single_family_units,total_units,single_family_share,single_family_value,multifamily_units,multifamily_value,total_value,yoy_change_units,yoy_percent_change,rolling_3yr_avg,cumulative_sfh_2000_2025,cumulative_sfh_2010_2025,cumulative_sfh_2020_2025,source_file
2000,state,01,Alabama,01,,,,13672,17406,0.7855,1499106,3734,218926,1718032,,,,13672.0,,,st2000a.txt
2001,state,01,Alabama,01,,,,14044,17706,0.7932,1616474,3662,206477,1822951,372.0,2.72,,27716.0,,,st2001a.txt
2002,state,01,Alabama,01,,,,15145,18403,0.823,1821671,3258,143717,1965388,1101.0,7.84,14287.0,42861.0,,,st2002a.txt
2003,state,01,Alabama,01,,,,17671,22256,0.794,2168740,4585,294828,2463568,2526.0,16.68,15620.0,60532.0,,,st2003a.txt
2004,state,01,Alabama,01,,,,22392,27411,0.8169,2849704,5019,443593,3293297,4721.0,26.72,18402.7,82924.0,,,st2004a.txt
2005,state,01,Alabama,01,,,,24654,30612,0.8054,3453265,5958,657148,4110413,2262.0,10.1,21572.3,107578.0,,,st2005a.txt
2006,state,01,Alabama,01,,,,24132,32034,0.7533,3430671,7902,971311,4401982,-522.0,-2.12,23726.0,131710.0,,,st2006a.txt
2007,state,01,Alabama,01,,,,18946,25845,0.7331,2749536,6899,450369,3199905,-5186.0,-21.49,22577.3,150656.0,,,st2007a.txt
2008,state,01,Alabama,01,,,,12017,17464,0.6881,1750551,5447,392991,2143542,-6929.0,-36.57,18365.0,162673.0,,,st2008a.txt
2009,state,01,Alabama,01,,,,9409,13266,0.7093,1411839,3857,252436,1664275,-2608.0,-21.7,13457.3,172082.0,,,st2009a.txt
2010,state,01,Alabama,01,,,,8702,11261,0.7728,1361842,2559,185133,1546975,-707.0,-7.51,10042.7,180784.0,8702.0,,st2010a.txt
2011,state,01,Alabama,01,,,,8858,11667,0.7592,1507696,2809,196368,1704064,156.0,1.79,8989.7,189642.0,17560.0,,st2011a.txt
2012,state,01,Alabama,01,,,,9184,13506,0.68,1689121,4322,260974,1950095,326.0,3.68,8914.7,198826.0,26744.0,,st2012a.txt
2013,state,01,Alabama,01,,,,9278,11763,0.7887,1845991,2485,225791,2071782,94.0,1.02,9106.7,208104.0,36022.0,,st2013a.txt
2014,state,01,Alabama,01,,,,9506,13369,0.711,1855163,3863,349512,2204675,228.0,2.46,9322.7,217610.0,45528.0,,st2014a.txt
2015,state,01,Alabama,01,,,,10257,14054,0.7298,2094023,3797,322751,2416774,751.0,7.9,9680.3,227867.0,55785.0,,st2015a.txt
2016,state,01,Alabama,01,,,,11692,15001,0.7794,2341744,3309,381212,2722956,1435.0,13.99,10485.0,239559.0,67477.0,,st2016a.txt
2017,state,01,Alabama,01,,,,12233,14799,0.8266,2511065,2566,261710,2772775,541.0,4.63,11394.0,251792.0,79710.0,,st2017a.txt
2018,state,01,Alabama,01,,,,12978,14824,0.8755,2753841,1846,292816,3046657,745.0,6.09,12301.0,264770.0,92688.0,,st2018a.txt
2019,state,01,Alabama,01,,,,14705,17748,0.8285,3103068,3043,442203,3545271,1727.0,13.31,13305.3,279475.0,107393.0,,st2019a.txt
2020,state,01,Alabama,01,,,,17551,19982,0.8783,4024112,2431,334580,4358692,2846.0,19.35,15078.0,297026.0,124944.0,17551.0,st2020a.txt
2021,state,01,Alabama,01,,,,17879,22100,0.809,4323650,4221,492524,4816174,328.0,1.87,16711.7,314905.0,142823.0,35430.0,st2021a.txt
2022,state,01,Alabama,01,,,,15961,19499,0.8186,4154464,3538,549960,4704424,-1918.0,-10.73,17130.3,330866.0,158784.0,51391.0,st2022a.txt
2023,state,01,Alabama,01,,,,16298,20337,0.8014,4460009,4039,623703,5083712,337.0,2.11,16712.7,347164.0,175082.0,67689.0,st2023a.txt
2024,state,01,Alabama,01,,,,17423,20725,0.8407,4858585,3302,537303,5395888,1125.0,6.9,16560.7,364587.0,192505.0,85112.0,st2024a.txt
2000,state,02,Alaska,02,,,,1607,2147,0.7485,273589,540,58986,332575,,,,1607.0,,,st2000a.txt
2001,state,02,Alaska,02,,,,1787,2939,0.608,319713,1152,130700,450413,180.0,11.2,,3394.0,,,st2001a.txt
2002,state,02,Alaska,02,,,,1702,3003,0.5668,311834,1301,157210,469044,-85.0,-4.76,1698.7,5096.0,,,st2002a.txt
2003,state,02,Alaska,02,,,,1740,3531,0.4928,335132,1791,225068,560200,38.0,2.23,1743.0,6836.0,,,st2003a.txt
2004,state,02,Alaska,02,,,,1771,3133,0.5653,364605,1362,175120,539725,31.0,1.78,1737.7,8607.0,,,st2004a.txt
2005,state,02,Alaska,02,,,,1653,2885,0.573,355129,1232,169958,525087,-118.0,-6.66,1721.3,10260.0,,,st2005a.txt
2006,state,02,Alaska,02,,,,1612,2739,0.5885,363503,1127,147967,511470,-41.0,-2.48,1678.7,11872.0,,,st2006a.txt
2007,state,02,Alaska,02,,,,984,1706,0.5768,227174,722,101614,328788,-628.0,-38.96,1416.3,12856.0,,,st2007a.txt
2008,state,02,Alaska,02,,,,667,901,0.7403,167053,234,42097,209150,-317.0,-32.22,1087.7,13523.0,,,st2008a.txt
2009,state,02,Alaska,02,,,,617,916,0.6736,155488,299,39737,195225,-50.0,-7.5,756.0,14140.0,,,st2009a.txt
2010,state,02,Alaska,02,,,,753,904,0.833,183990,151,20690,204680,136.0,22.04,679.0,14893.0,753.0,,st2010a.txt
2011,state,02,Alaska,02,,,,713,877,0.813,178830,164,25145,203975,-40.0,-5.31,694.3,15606.0,1466.0,,st2011a.txt
2012,state,02,Alaska,02,,,,818,994,0.8229,212212,176,22085,234297,105.0,14.73,761.3,16424.0,2284.0,,st2012a.txt
2013,state,02,Alaska,02,,,,877,1079,0.8128,229970,202,27566,257536,59.0,7.21,802.7,17301.0,3161.0,,st2013a.txt
2014,state,02,Alaska,02,,,,1125,1518,0.7411,299110,393,54602,353712,248.0,28.28,940.0,18426.0,4286.0,,st2014a.txt
2015,state,02,Alaska,02,,,,992,1298,0.7643,279454,306,45142,324596,-133.0,-11.82,998.0,19418.0,5278.0,,st2015a.txt
